"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","156","renders layout (navbar or error/redirect)","Dashboard","Tue Nov 04 09:40:59 IST 2025","passed","Tue Nov 04 09:41:00 IST 2025","","","",""
"","175","renders heading and either table or error message","Admin Users","Tue Nov 04 09:40:53 IST 2025","passed","Tue Nov 04 09:40:53 IST 2025","","","",""
"","216","renders filters and table area","Audit Logs","Tue Nov 04 09:40:56 IST 2025","passed","Tue Nov 04 09:40:56 IST 2025","","","",""
"","581","applies filters and resets them","Audit Logs","Tue Nov 04 09:40:56 IST 2025","passed","Tue Nov 04 09:40:57 IST 2025","","","",""
"","345","renders profile form and validates empty display name","Profile Page","Tue Nov 04 09:41:12 IST 2025","passed","Tue Nov 04 09:41:12 IST 2025","","","",""
"","200","allows typing in search input and preserves value","Admin Users","Tue Nov 04 09:40:53 IST 2025","passed","Tue Nov 04 09:40:53 IST 2025","","","",""
"","4470","shows login page and redirects to Cognito on click","Login flow","Tue Nov 04 09:41:04 IST 2025","passed","Tue Nov 04 09:41:08 IST 2025","","","",""
"","2037","logout navigates back to login when visible","Dashboard","Tue Nov 04 09:41:00 IST 2025","passed","Tue Nov 04 09:41:02 IST 2025","","","",""
"","378","can complete Cognito login when credentials provided, else injects token","Login flow","Tue Nov 04 09:41:08 IST 2025","passed","Tue Nov 04 09:41:08 IST 2025","","","",""
"","287","updates fields and attempts save, shows a result message","Profile Page","Tue Nov 04 09:41:12 IST 2025","passed","Tue Nov 04 09:41:12 IST 2025","","","",""
"","108","back to dashboard navigates away","Profile Page","Tue Nov 04 09:41:12 IST 2025","passed","Tue Nov 04 09:41:13 IST 2025","","","",""
